name,rmse,ridge_weight
cuml_knn/2025-05-29_15-56-21-rmse_0.08832,0.08832595015110249,0.1251369489507807
cuml_rf/2025-05-29_16-59-58-rmse_0.07974,0.07974580106341728,0.10445522806382952
lightgbm/2025-05-28_15-26-33-rmse_0.05960,0.059603273406328545,0.09529429764378713
catboost/2025-05-28_19-02-55-rmse_0.05975,0.059749287901902065,0.08979889801696322
cuml_rf/2025-05-29_16-52-34-rmse_0.05907,0.059068528566381125,0.08534393026315604
catboost/2025-05-28_16-54-43-rmse_0.05957,0.059575931756604465,0.07861571154245409
hill_climbing/rmse_0.058939,0.058939080651432926,0.07757716495247603
cuml_rf/2025-05-29_16-58-37-rmse_0.06071,0.06071505592185371,0.06907447546795369
hill_climbing/rmse_0.058973,0.058973232244724366,0.06547068014938251
cuml_rf/2025-05-29_17-01-08-rmse_0.06882,0.068823517316622,0.06452119857231964
hill_climbing/rmse_0.058876,0.05887595323420521,0.06264762755345199
cuml_rf/2025-05-29_16-53-19-rmse_0.06115,0.06115654223907549,0.03391591939865622
xgboost/2025-05-28_14-53-04-rmse_0.05930,0.05930651292131816,0.03061414561192403
catboost/2025-05-28_18-03-13-rmse_0.05937,0.059375413638906395,0.029878970048384173
catboost/2025-05-28_16-38-01-rmse_0.05954,0.05954103957772142,0.022253582224769974
hill_climbing/rmse_0.05867,0.05866580827950484,0.020533285129173923
catboost/2025-05-28_18-36-25-rmse_0.05941,0.0594118305407478,0.020385705599883272
cuml_knn/2025-05-29_15-58-59-rmse_0.08638,0.08637996512537838,0.014022212772311972
lightgbm/2025-05-30_01-17-50-rmse_0.05920,0.059201307506951156,0.012750947180969268
hill_climbing/rmse_0.059149,0.05914932617272476,0.01269980940885861
xgboost/2025-05-28_15-12-05-rmse_0.05922,0.059226351929964595,0.011906233970440237
xgboost/2025-05-28_15-00-09-rmse_0.05924,0.059244663346931466,0.01043087474936518
xgboost/2025-05-28_15-08-45-rmse_0.05932,0.05932723484235289,0.0101557691409904
lightgbm/2025-05-29_21-22-26-rmse_0.05916,0.05916456882198689,0.009066748044303382
lightgbm/2025-05-29_19-45-59-rmse_0.05919,0.05919124570220057,0.00858460993909873
cuml_rf/2025-05-29_16-56-23-rmse_0.06622,0.06622378961318624,0.00855648833177603
xgboost/2025-05-28_15-16-11-rmse_0.05933,0.059336557447593745,0.008269445026974114
xgboost/2025-05-29_20-20-05-rmse_0.05918,0.05918510659494898,0.007952304140786105
lightgbm/2025-05-29_22-04-51-rmse_0.05918,0.05917843736058089,0.007573030766314705
lightgbm/2025-05-28_15-31-52-rmse_0.05921,0.059214436549390986,0.007439859107852285
lightgbm/2025-05-30_01-24-06-rmse_0.05918,0.05917789957831669,0.006605113030372888
catboost/2025-05-28_15-42-53-rmse_0.05940,0.0593998202168064,0.006422514312638609
xgboost/2025-05-28_15-26-47-rmse_0.05926,0.05925766282006247,0.006411352545973947
xgboost/2025-05-29_18-00-23-rmse_0.05921,0.05920792732861414,0.0062538877869455275
catboost/2025-05-28_15-05-31-rmse_0.05944,0.059446694515083096,0.006177101939090632
hill_climbing/rmse_0.059240,0.05924031222772665,0.006039190493330724
xgboost/2025-05-29_18-20-27-rmse_0.05922,0.05922051727584607,0.005582926010419265
cuml_rf/2025-05-29_17-02-37-rmse_0.05991,0.05991505922779648,0.005297506395978997
xgboost/2025-05-28_14-51-43-rmse_0.05926,0.05926355647484633,0.005145551237456764
cuml_rf/2025-05-29_16-57-16-rmse_0.14969,0.14969342249100945,0.005107357844073694
lightgbm/2025-05-28_16-00-09-rmse_0.05921,0.05921698507469107,0.005012388459005348
ridge/rmse_0.05873,0.058698313378251765,0.004523959502267885
lightgbm/2025-05-28_15-13-42-rmse_0.05925,0.05925459797163961,0.0044672555142093225
hill_climbing/rmse_0.058801,0.05880107242126982,0.004056910611001896
lightgbm/2025-05-28_16-29-40-rmse_0.05921,0.059207558485491495,0.003908411968482048
ridge/rmse_0.05870,0.05868334704289577,0.0038691377881078406
xgboost/2025-05-29_19-22-36-rmse_0.05919,0.05919076520047283,0.0037618321562742896
lightgbm/2025-05-30_00-13-37-rmse_0.05917,0.059171726737074756,0.0037022683416129357
xgboost/2025-05-28_15-30-24-rmse_0.05926,0.05925730234585187,0.0035309741723244838
xgboost/2025-05-29_19-02-55-rmse_0.05919,0.05919076520047283,0.0031517053763802576
lightgbm/2025-05-28_16-11-58-rmse_0.05920,0.0592020566686659,0.0031465513814931093
lightgbm/2025-05-28_16-05-57-rmse_0.05921,0.05920873730091239,0.0031465512827908645
xgboost/2025-05-28_15-10-04-rmse_0.05940,0.05939745795839646,0.002994143715925592
cuml_knn/2025-05-29_16-06-26-rmse_0.10576,0.10575683009467278,0.0029283077054800756
xgboost/2025-05-29_18-12-02-rmse_0.05922,0.059219882235930395,0.0026162455432363735
lightgbm/2025-05-29_18-04-57-rmse_0.05924,0.059237959034766606,0.0022695969361088975
cuml_rf/2025-05-29_16-55-08-rmse_0.05929,0.05929488704370619,0.0022317065092092685
catboost/2025-05-28_19-27-13-rmse_0.05941,0.05941126637869262,0.0020341928168826715
ridge/rmse_0.05869,0.05866724465272091,0.0019765859372043474
xgboost/2025-05-29_18-17-51-rmse_0.05921,0.05921013334732073,0.00191447497969991
lightgbm/2025-05-29_19-22-59-rmse_0.05920,0.05920615795505241,0.0019144748625598655
lightgbm/2025-05-30_02-37-33-rmse_0.05917,0.05916991975336195,0.0019144748344862908
lightgbm/2025-05-29_19-09-08-rmse_0.05917,0.059170031647451715,0.0019144747680402694
